,MAIN_ID,RA,DEC,RA_PREC,DEC_PREC,COO_ERR_MAJA,COO_ERR_MINA,COO_ERR_ANGLE,COO_QUAL,COO_WAVELENGTH,COO_BIBCODE,FLUX_U,FLUX_B,FLUX_V,FLUX_R,FLUX_I,FLUX_J,FLUX_H,FLUX_K,SP_TYPE,SP_QUAL,SP_BIBCODE,OTYPE_S,OTYPES,PLX_VALUE,PLX_PREC,PLX_ERROR,PLX_QUAL,PLX_BIBCODE,PMRA,PMDEC,PMRA_PREC,PMDEC_PREC,PM_ERR_MAJA,PM_ERR_MINA,PM_ERR_ANGLE,PM_QUAL,PM_BIBCODE,25s,1.5m,B-V,J-K,Mv,CRITERIA,MASK_E(B-V),MASK_E(J-K),MASK_SP_TYPE,MASK_OTYPE,MASK_25s,MASK_Mv,MASK_1.5m,MASK_N,MASK_Good
HIP13917,HD  18571,02 59 16.7596,+01 14 40.476,14,14,0.0661,0.0525,90,A,O,2018yCat.1345....0G,,8.66,8.63,,,8.504,8.499,8.519,A0V,C,1999MSS...C05....0H,Star,*|IR|UV,1.9151,4,0.0763,A,2018yCat.1345....0G,12.387,-5.149,3,3,0.109,0.105,90,A,2018yCat.1345....0G,1.0,1.0,0.02999999999999936,-0.015000000000000568,-0.06854271862221734,,0,0,0,0,0,0,0,0,True
HIP24607,HD  34317,05 16 41.0392,+01 56 50.380,14,14,0.0622,0.0495,90,A,O,2018yCat.1345....0G,,6.402,6.4079999999999995,,,6.353,6.377999999999999,6.303,A0V,C,1999MSS...C05....0H,Star,*|IR|UV,5.438,4,0.0704,A,2018yCat.1345....0G,-11.467,-7.519,3,3,0.13699999999999998,0.102,90,A,2018yCat.1345....0G,1.0,1.0,-0.005999999999999339,0.04999999999999982,0.1070960162574035,,0,0,0,0,0,0,0,0,True
HIP45167,HD  79108,09 12 12.8805,+03 52 01.126,14,14,0.1167,0.1214,90,A,O,2018yCat.1345....0G,,6.127000000000001,6.131,,,6.142,6.162999999999999,6.119,A0V,C,1999MSS...C05....0H,PM*,*|PM*|IR|UV,8.6396,4,0.1349,A,2018yCat.1345....0G,-51.3,-5.71,2,2,0.37,0.18,0,A,2007A&A...474..653V,1.0,1.0,-0.0039999999999995595,0.023000000000000576,0.8280681789372122,,0,0,0,0,0,0,0,0,True
HIP22923,HD  31411,04 55 58.3522,+05 23 56.487,14,14,0.0414,0.031,90,A,O,2018yCat.1345....0G,,6.52,6.485,,,6.391,6.45,6.417000000000001,A0V,C,,Star,*|IR|UV,7.4254,4,0.0536,A,2018yCat.1345....0G,-16.758,-14.817,3,3,0.08800000000000001,0.061,90,A,2018yCat.1345....0G,1.0,1.0,0.034999999999999254,-0.02600000000000069,0.7108492684739723,,0,0,0,0,0,0,0,0,True
HIP33297,HD  50931,06 55 34.6182,+08 19 27.432,14,14,0.0804,0.0839,90,A,O,2018yCat.1345....0G,,6.305,6.257999999999999,,,6.178,6.165,6.131,A0V,C,,Star,*|IR|UV,10.4434,4,0.0943,A,2018yCat.1345....0G,-13.74,4.122,3,3,0.153,0.131,90,A,2018yCat.1345....0G,1.0,1.0,0.0470000000000006,0.04699999999999971,1.1806595627028282,,0,0,0,0,0,0,0,0,True
HIP24555,*  18 Ori,05 16 04.1347,+11 20 28.878,14,14,0.1417,0.1072,90,A,O,2018yCat.1345....0G,,5.5,5.515,,,5.443,5.474,5.462000000000001,A0V,C,,Star,*|IR|UV,8.3569,4,0.1417,A,2018yCat.1345....0G,-8.003,-6.056,3,3,0.34600000000000003,0.257,90,A,2018yCat.1345....0G,1.0,1.0,-0.01499999999999968,-0.019000000000001016,0.179976026805693,,0,0,0,0,0,0,0,0,True
HIP98400,HD 189411,19 59 35.1125,+11 53 21.782,14,14,0.0392,0.0295,90,A,O,2018yCat.1345....0G,,9.09,9.03,,,8.791,8.767000000000001,8.756,A0V,C,,Star,**|*|IR|UV,1.8371,4,0.0581,A,2018yCat.1345....0G,-0.03,-3.3810000000000002,3,3,0.087,0.061,90,A,2018yCat.1345....0G,1.0,1.0,0.0600000000000005,0.03500000000000014,0.13166398584629074,,0,0,0,0,0,0,0,0,True
HIP65599,HD 116960,13 26 58.9426,+11 54 30.791,14,14,0.0587,0.043,90,A,O,2018yCat.1345....0G,,7.97,8.0,,,7.928999999999999,7.975,7.938,A0V,C,,Star,*|IR|UV,3.3881,4,0.0906,A,2018yCat.1345....0G,0.7859999999999999,-5.229,3,3,0.20600000000000002,0.083,90,A,2018yCat.1345....0G,1.0,1.0,-0.03000000000000025,-0.009000000000000341,0.7592811003938106,,0,0,0,0,0,0,0,0,True
HD114381,HD 114381,13 10 04.7191,+12 19 13.229,14,14,0.0489,0.0422,90,A,O,2018yCat.1345....0G,,9.55,9.49,,,,,,A0V,C,,Star,*,1.4509999999999998,4,0.0609,A,2018yCat.1345....0G,-12.171,-5.154,3,3,0.111,0.084,90,A,2018yCat.1345....0G,1.0,1.0,0.0600000000000005,,0.07933706218867914,,0,0,0,0,0,0,0,0,True
HIP98640,HD 189920,20 02 04.9381,+12 19 19.545,14,14,0.0304,0.0202,90,A,O,2018yCat.1345....0G,,9.42,9.36,,,9.096,9.082,9.046,A0V,C,,Star,*|IR,1.2158,4,0.0424,A,2018yCat.1345....0G,3.423,0.611,3,3,0.063,0.043,90,A,2018yCat.1345....0G,1.0,1.0,0.0600000000000005,0.05000000000000071,-0.4346893047578912,,0,0,0,0,0,0,0,0,True
