NAME,RA,DEC,PMRA,PMDEC,FLUX_B,FLUX_V,FLUX_J,FLUX_H,FLUX_K
HD  54433,07 08 51.6194880360,+00 00 35.130156237,-7.922,-3.279,8.63,8.59,8.466,8.486,8.472
HIP  44227,09 00 29.8145590340,+00 09 25.223893718,-3.717,-0.974,8.39,8.35,8.241,8.312,8.258
HIP  36852,07 34 37.8434076747,+00 10 27.745872891,-2.161,2.335,8.46,8.43,8.356,8.341,8.319
HIP  35309,07 17 37.3775630081,+00 10 52.412272931,-11.276,-21.741,7.85,7.84,7.779,7.818,7.782
HIP  41345,08 26 07.0768546283,+00 13 48.136523290,-6.66,-30.043,8.57,8.55,8.547,8.553,8.564
HIP  39664,08 06 20.2400917720,+00 18 20.370898933,-5.011,-0.12,8.41,8.37,8.293,8.313,8.27
HD  36056,05 29 00.7374768396,+00 18 25.762822145,1.899,-0.333,8.97,8.91,8.734,8.715,8.76
HD  44839,06 24 03.3119026427,+00 19 04.215481299,-10.031,-6.153,8.97,8.92,8.798,8.843,8.806
HD  60084,07 32 57.2624435182,+00 38 48.280526241,-1.702,-0.537,8.82,8.78,8.655,8.676,8.635
HD 196057,20 34 56.1046776388,+00 40 00.248044132,18.356,6.308,8.74,8.68,8.587,8.59,8.545
HD  38857,05 48 43.0653318839,+00 40 01.306441854,-3.038,0.554,9.44,9.41,9.414,9.442,9.401
HD 292270,06 47 04.1744693893,+00 41 34.228028778,-1.971,-4.361,10.87,10.8,10.489,10.457,10.44
HIP  30692,06 26 58.8243179002,+00 50 27.757206703,-5.097,1.294,6.711,6.678,6.575,6.542,6.541
HD 196553,20 38 10.7448179710,+00 56 20.503155490,0.213,-1.315,9.66,9.64,9.402,9.415,9.389
HD  53360,07 04 54.9070438377,+01 05 37.641152354,-0.963,-7.432,8.21,8.21,8.18,8.196,8.2
HIP  13917,02 59 16.7596696192,+01 14 40.476331518,12.387,-5.149,8.66,8.63,8.504,8.499,8.519
HIP  46633,09 30 35.0828897373,+01 15 26.135961957,-15.314,2.974,7.48,7.43,7.317,7.38,7.32
HD  59016,07 28 10.1442020641,+01 19 08.826768143,-3.746,2.525,9.63,9.66,9.515,9.512,9.485
HD  48102,06 41 50.0771067008,+01 29 13.571808756,0.678,-1.637,8.97,8.9,8.8,8.816,8.815
HD  31642,04 57 35.0166780343,+01 33 53.786577171,-1.716,-5.017,9.63,9.56,9.159,9.155,9.111
HD  35332,05 24 07.8591133510,+01 38 00.146442878,1.101,0.168,9.37,9.34,9.373,9.361,9.394
HIP  28590,06 02 05.6613390920,+01 45 39.166621302,-7.572,-6.8,8.06,7.99,7.86,7.873,7.845
HD  71925,08 30 07.5384726591,+01 49 00.304201552,-9.983,-1.113,9.64,9.57,9.359,9.351,9.32
HIP  31420,06 35 04.2011502958,+01 49 00.741851394,-9.245,3.964,7.63,7.62,7.559,7.586,7.541
HIP  71973,14 43 13.0736135344,+01 49 28.975961778,-34.358,-19.586,7.34,7.33,7.26,7.298,7.252
HIP  23714,05 05 54.6087906147,+01 51 07.985521389,0.244,0.474,8.19,8.16,8.112,8.155,8.143
HD  35625,05 26 11.9828639257,+01 53 35.730415710,1.422,-0.296,9.37,9.33,9.348,9.352,9.32
HIP  24607,05 16 41.0392756548,+01 56 50.380674095,-11.467,-7.519,6.402,6.408,6.353,6.378,6.303
HD  41287,06 04 22.9610426552,+02 05 18.404672136,-2.342,-6.579,8.85,8.79,8.639,8.682,8.621
HIP  35724,07 22 11.7817240093,+02 08 34.649852675,-4.915,-10.34,8.25,8.19,8.09,8.088,8.081
HIP  39621,08 05 47.7045907119,+02 09 54.423189044,-2.643,-10.752,6.81,6.82,6.773,6.751,6.729
HD 205337,21 34 31.6179043111,+02 10 05.596467243,11.686,1.909,9.63,9.57,9.431,9.441,9.433
HD  57859,07 23 14.7550466960,+02 10 55.658124073,-5.151,-0.278,8.98,8.96,8.869,8.914,8.889
HD  58163,07 24 35.3046667454,+02 11 54.918318945,-3.111,-1.27,9.99,10,9.856,9.847,9.799
HIP  25511,05 27 20.5887649433,+02 12 57.092914025,1.61,-1.158,9.21,9.17,9.139,9.151,9.147
HIP  87939,17 57 51.0011129298,+02 15 12.795692338,-0.847,1.461,7.02,6.94,6.598,6.616,6.573
HIP  31698,06 37 53.0471104420,+02 16 09.936627324,-0.23,-9.205,7.26,7.26,7.341,7.327,7.315
HIP  30594,06 25 46.5280267247,+02 16 18.038396264,-2.078,-16.052,6.48,6.51,6.499,6.505,6.51
HIP  36331,07 28 41.9363882861,+02 17 00.537267489,-1.655,-26.691,7.45,7.38,7.266,7.292,7.295
HD  48033,06 41 30.3891167873,+02 18 12.517326441,-12.461,-9.467,8.82,8.76,8.604,8.611,8.579
HD  44374,06 21 42.7541258689,+02 23 46.733597812,4.395,-13.186,9.27,9.21,9.101,9.163,9.081
HD  16286,02 36 54.7713085825,+02 27 15.556269791,11.258,-1.17,9.01,9.01,9.034,9.054,9.008
HIP  56376,11 33 22.6308322280,+02 27 49.944976039,-20.933,21.449,8.07,8.03,7.885,7.895,7.837
HIP  26055,05 33 27.4326550453,+02 39 05.687696778,1.674,-0.473,9.04,9.03,9.072,9.075,9.038
HD  31041,04 52 44.6091760733,+02 41 14.940920203,2.676,-5.199,9.53,9.46,9.243,9.241,9.2
HD  36708,05 33 53.9691030220,+02 43 40.849772785,-16.992,-15.959,9.35,9.33,9.25,9.274,9.194
HIP  48704,09 55 59.5795637738,+02 47 55.532043709,-15.529,-10.782,8.35,8.37,8.421,8.444,8.456
HIP 115428,23 22 53.2271158211,+02 49 05.915478022,20.421,-13.396,7.06,7.03,6.969,7.003,6.986
HD  64274,07 53 10.0213624534,+02 49 31.909814958,-7.018,-3.835,9.23,9.19,9.168,9.17,9.165
HD  50527,06 53 46.2921653375,+02 56 13.583698777,-3.425,-0.743,9.36,9.32,9.121,9.111,9.087
HIP 101114,20 29 44.8586530006,+02 59 46.408279361,7.833,-3.801,7.08,7.08,7.024,7.036,7.053
HIP  15830,03 23 54.8445716436,+03 02 36.789052270,12.755,-6.189,8.27,8.2,7.947,7.975,7.941
HIP  29766,06 16 05.2054146036,+03 05 50.796139086,5.007,-6.986,8.11,8.04,7.861,7.914,7.802
HD  62287,07 43 14.4636170307,+03 07 48.464832017,-4.598,-1.335,8.1,8.06,7.92,7.939,7.91
HD 116913,13 26 44.6674100333,+03 08 20.686460409,0.462,-15.403,9.36,9.29,9.119,9.126,9.097
HIP  61637,12 38 04.4158502713,+03 16 56.800513912,-30.576,-11.553,6.337,6.334,6.257,6.301,6.231
HIP  23014,04 56 59.2950320177,+03 17 09.819474602,-4.548,8.676,7.39,7.33,7.164,7.24,7.137
HD  59565,07 30 35.0384026033,+03 20 37.607547951,-5.058,-0.991,8.91,8.89,8.861,8.898,8.896
HD  85377,09 51 28.8413095025,+03 22 06.380375992,-6.148,-5.937,7.53,7.51,7.48,7.446,7.449
HD  55164,07 11 55.2982303843,+03 22 17.711878168,-3.193,-1.975,10.18,10.13,10.045,10.062,10.021
HD 195219,20 29 55.7114241814,+03 22 43.690840535,2.04,-42.859,8.51,8.51,8.459,8.527,8.48
HD 193670,20 21 22.1083498974,+03 24 17.488741776,12.024,-9.477,8.71,8.66,8.481,8.485,8.474
HD  73331,08 37 58.2618137801,+03 24 35.913376492,-4.777,-4.12,9.23,9.18,9.164,9.194,9.201
HD 182494,19 24 45.5815668568,+03 26 00.031332507,0.052,-6.914,8.95,8.9,8.567,8.62,8.575
HD  43339,06 15 52.4472156046,+03 26 22.325693586,-3.617,-0.429,8.51,8.47,8.389,8.409,8.338
HD  56608,07 17 46.8494293982,+03 30 19.594079656,-6.584,0.069,9.37,9.3,9.263,9.252,9.237
HIP  58510,11 59 56.9127613024,+03 39 18.744123054,-18.157,-7.428,5.346,5.345,5.341,5.356,5.336
HIP  22367,04 48 56.2555179563,+03 41 22.923180936,-14.97,-12.973,7.03,7.01,6.973,6.974,6.963
